entity.id,entity.name,entity.type,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.rating,entity.slug,entity.pageUrl,entity.region,entity.country,entity.starRating,entity.destinationId,entity.destinationSlug,entity.tags
TF-DEST-001,Goa,destination,Beach,"Goa is India's smallest state and biggest beach destination, famed for its golden coastline, Portuguese colonial churches, and vibrant nightlife. Whether you seek lazy days on sun-drenched beaches or thrilling water sports, Goa delivers an unforgettable tropical escape.",https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=800&q=80,15000,4.7,goa,/destinations/goa,Domestic,India,n/a,n/a,n/a,"Sunbathing at Baga & Calangute Beach;Exploring Old Goa's UNESCO Heritage Churches;Water Sports at Anjuna Beach;Night Market Shopping at Arpora;Spice Plantation Tours;Dolphin Spotting Boat Trips"
TF-DEST-002,Manali,destination,Mountain,"Nestled in the Kullu Valley of Himachal Pradesh, Manali is a high-altitude Himalayan resort town blessed with snow-capped peaks, cedar forests, and the roaring Beas River. It is the gateway to the legendary Rohtang Pass and a paradise for adventure seekers.",https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800&q=80,12000,4.6,manali,/destinations/manali,Domestic,India,n/a,n/a,n/a,"Skiing & Snowboarding at Solang Valley;River Rafting on the Beas;Trekking to Hampta Pass;Visiting the Ancient Hadimba Temple;Paragliding over Kullu Valley;Day Trip to Rohtang Pass"
TF-DEST-003,Kerala,destination,Beach,"Known as ""God's Own Country,"" Kerala enchants visitors with its tranquil backwaters, lush tea estates, and pristine beaches. The state offers a unique blend of Ayurvedic wellness retreats, houseboat cruises through serene lagoons, and diverse wildlife sanctuaries.",https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?w=800&q=80,18000,4.8,kerala,/destinations/kerala,Domestic,India,n/a,n/a,n/a,"Houseboat Cruise on Alleppey Backwaters;Ayurvedic Spa & Wellness Retreat;Tea Estate Tour in Munnar;Wildlife Safari at Periyar Tiger Reserve;Kathakali Dance Performance;Beach Relaxation at Kovalam"
TF-DEST-004,Rajasthan,destination,City,"The ""Land of Kings"" beckons with its majestic forts, opulent palaces, and shimmering desert dunes. From the Pink City of Jaipur to the Blue City of Jodhpur and the golden sands of Jaisalmer, Rajasthan is a kaleidoscope of royal heritage and vibrant culture.",https://images.unsplash.com/photo-1599661046289-e31897846e41?w=800&q=80,20000,4.9,rajasthan,/destinations/rajasthan,Domestic,India,n/a,n/a,n/a,"Amber Fort & Jaipur City Palace Tour;Camel Safari in the Thar Desert;Mehrangarh Fort in Jodhpur;Lake Palace Boat Ride in Udaipur;Traditional Rajasthani Cuisine Experience;Pushkar Camel Fair (Seasonal)"
TF-DEST-005,Kashmir,destination,Mountain,"Often described as ""Paradise on Earth,"" the Kashmir Valley stuns visitors with its emerald meadows, saffron fields, and the mirror-like Dal Lake surrounded by snow-dusted Himalayan peaks. A shikara ride at sunset is an experience unlike any other in the world.",https://images.unsplash.com/photo-1566837945700-30057527ade0?w=800&q=80,22000,4.9,kashmir,/destinations/kashmir,Domestic,India,n/a,n/a,n/a,"Shikara Ride on Dal Lake;Staying in Traditional Houseboat;Gulmarg Gondola & Skiing;Trekking through Pahalgam Meadows;Tulip Garden Visit (Spring);Kashmiri Wazwan Feast"
TF-DEST-006,Andaman Islands,destination,Beach,"The Andaman and Nicobar Islands are an archipelago of 572 islands in the Bay of Bengal, renowned for their pristine coral reefs, crystal-clear turquoise waters, and dense tropical rainforests. Radhanagar Beach regularly ranks among Asia's best beaches.",https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800&q=80,25000,4.7,andaman,/destinations/andaman,Domestic,India,n/a,n/a,n/a,"Scuba Diving at Elephant Beach;Sea Walk at North Bay Island;Radhanagar Beach Sunset;Cellular Jail Light & Sound Show;Snorkeling at Jolly Buoy Island;Glass-Bottom Boat Ride"
TF-DEST-007,Ladakh,destination,Adventure,"Ladakh is a high-altitude cold desert landscape that feels like a moonscape — dramatic barren mountains, ancient Buddhist monasteries perched on clifftops, and the impossibly blue Pangong Lake. This remote Himalayan region rewards intrepid travelers with scenes of breathtaking solitude.",https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&q=80,28000,4.8,ladakh,/destinations/ladakh,Domestic,India,n/a,n/a,n/a,"Pangong Lake Road Trip;Nubra Valley & Bactrian Camel Safari;Thiksey & Hemis Monastery Visit;Magnetic Hill & Zanskar Valley;Mountain Biking on Khardung La Pass;Rafting on the Indus & Zanskar Rivers"
TF-DEST-008,Mussoorie,destination,Mountain,"Perched at 2,005 metres in the lower Himalayas, Mussoorie is the ""Queen of the Hills"" — a charming hill station of colonial-era architecture, misty forests, and sweeping views over the Doon Valley. Gun Hill and Kempty Falls are among its most beloved landmarks.",https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&q=80,10000,4.4,mussoorie,/destinations/mussoorie,Domestic,India,n/a,n/a,n/a,"Cable Car Ride to Gun Hill;Kempty Falls Picnic;Camel's Back Road Sunrise Walk;Mall Road & Landour Heritage Walk;Trekking to Benog Hill;George Everest Estate Visit"
TF-DEST-009,Shimla,destination,Mountain,"The former summer capital of British India, Shimla is a picturesque hill station adorned with Victorian architecture, pine and rhododendron forests, and panoramic Himalayan vistas. A ride on the UNESCO-listed Kalka–Shimla toy train is an experience unto itself.",https://images.unsplash.com/photo-1588416936097-41850ab3d86d?w=800&q=80,11000,4.5,shimla,/destinations/shimla,Domestic,India,n/a,n/a,n/a,"Toy Train Ride from Kalka to Shimla;The Mall & Ridge Promenade;Jakhoo Temple Trek;Ice Skating at Asia's Oldest Rink;Chadwick Falls Nature Walk;Kufri Snow Activities (Winter)"
TF-DEST-010,Darjeeling,destination,Mountain,"Darjeeling, the ""Queen of the Himalayas,"" is world-famous for its tea gardens, stunning Kanchenjunga views, and the beloved Darjeeling Himalayan Railway toy train. Dawn visits to Tiger Hill for the sunrise silhouette of Everest are legendary among travellers.",https://images.unsplash.com/photo-1544735716-392fe2489ffa?w=800&q=80,13000,4.6,darjeeling,/destinations/darjeeling,Domestic,India,n/a,n/a,n/a,"Tiger Hill Sunrise over Mt. Everest;Darjeeling Himalayan Railway Joyride;Happy Valley Tea Estate Tour;Himalayan Mountaineering Institute;Peace Pagoda & Batasia Loop;Shopping Tibetan Crafts at Chowrasta"
TF-DEST-011,Bali,destination,Beach,"Bali, the ""Island of the Gods,"" is Indonesia's crown jewel — a mesmerising blend of jungle-clad volcanic mountains, terraced rice paddies, world-class surf breaks, and ancient Hindu temples. Its spiritual energy and warm hospitality make it one of the world's most beloved destinations.",https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800&q=80,45000,4.9,bali,/destinations/bali,International,Indonesia,n/a,n/a,n/a,"Sunrise Trek to Mount Batur;Ubud Monkey Forest & Rice Terraces;Tanah Lot Temple at Sunset;Surfing at Kuta & Seminyak;Balinese Cooking Class;Sacred Tirta Empul Water Temple"
